date,time,platform,type,files,caption,status,result
2026-09-21,12:00,threads,image,crab-legs.jpg,"홍게 사 먹을 때 제일 귀찮은 게 삶는 거죠.\n\n이건 삶아서 옵니다. 냉장으로 오니까 해동 기다릴 것도 없고, 찜기에 데우기만 하면 바로 상에 올라갑니다.\n\n국내산 박달홍게 4kg, 10미 내외.\n동해 후포리에서 올라온 것만 씁니다.\n다리 수율 90% 이상이라 까면 살이 그대로 빠져나옵니다.\n\n하나 미리 말씀드릴 게 있습니다.\n4kg은 삶기 전 무게예요. 삶고 나면 2.5kg 내외가 됩니다.\n게가 원래 그렇습니다. 사고 나서 아시는 것보다 낫겠다 싶어 적습니다.\n\n30,000원 무료배송.\nhttps://smartstore.naver.com/nice__food/products/13768146373",done,threads:18117356836970742
2026-09-21,18:00,instagram,carousel,hansang-intro-01.jpg;hansang-intro-02.jpg,"제철이 가득한 한상, 문 열었습니다 🦐\n\n수산물 · 축산물 · 농산물\n그 계절 가장 좋은 것만 골라 산지에서 바로 보냅니다.\n\n▪ 원산지, 중량, 마리수 적힌 그대로\n▪ 부풀리지 않고 사실만 적습니다\n▪ 산지 직거래로 거품을 뺐습니다\n\n지금은 제철 수산물부터 시작합니다.\n동해 후포리 박달홍게, 국내산 홍가리비.\n계절이 바뀌면 품목도 같이 바뀝니다.\n\n구매는 프로필 링크에서 · 스마트스토어\n\n#제철이가득한한상 #산지직송 #수산물 #축산물 #농산물\n#신선식품 #온라인장보기 #박달홍게 #제철수산물",done,instagram:17905681113333378
2026-09-22,12:00,threads,carousel,assets/crab-tray.jpg;assets/crab-plate.jpg;assets/crab-scale.jpg;assets/crab-pack.jpg,"삶아서 나온 홍게, 이렇게 옵니다.\n\n국내산 박달홍게 4kg · 10미 내외 · 냉장\n동해 후포리 위판장에서 올라온 것만 씁니다.\n\n▪ 자숙 완료 — 찜기에 5분 데우면 끝\n▪ 다리 수율 90% 이상, 까면 살이 통째로 빠집니다\n▪ 게딱지는 밥 비벼 드세요\n▪ 아이스팩 + 스티로폼, 냉장 그대로 도착\n\n무게 얘기 먼저 합니다.\n4kg은 삶기 전 기준이에요. 삶으면 2.5kg 내외가 됩니다.\n게가 원래 그렇습니다. 사고 나서 아시는 것보다 미리 적는 게 낫겠죠.\n실제 저울 사진 같이 올립니다.\n\n30,000원 무료배송.\nhttps://smartstore.naver.com/nice__food/products/13768146373",done,threads:18052278188800112
2026-09-24,12:00,threads,carousel,garibi-01.jpg;garibi-02.jpg;garibi-03.jpg;garibi-04.jpg,"가리비 살 도톰해지는 게 딱 지금부터다.\n가을 들어와서 이듬해 4월까지가 철.\n\n1kg에 20미 내외. 둘이 먹기 딱 맞는다.\n씻어서 찜기에 5분이면 끝난다.\n\n그날 조업한 생물만 담는다.\n6,100원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13768146049",,
2026-09-24,18:00,instagram,carousel,garibi-01.jpg;garibi-02.jpg;garibi-03.jpg,"가을 들어오면서 홍가리비 살이 도톰하게 차오릅니다. 지금부터 이듬해 4월까지가 제철입니다.\n\n· 국내산 생물 1kg · 20미 내외\n· 씻어서 찜기에 5분이면 완성\n· 그날 조업한 것만 빙장 포장\n\n6,100원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #홍가리비 #가리비 #제철수산물 #산지직송 #가리비찜 #조개찜 #신선식품 #온라인장보기",,
2026-09-28,12:00,threads,carousel,suji-01.jpg;suji-02.jpg;suji-03.jpg;suji-04.jpg;suji-05.jpg,"불고기 시켜놓고 양념 따로 사본 적 있으면 안다.\n\n이건 언양식 양념 100g이 같이 온다.\n따로 준비할 게 없다.\n\n한우 1++ 스지불고기 300g. 둘이 먹을 양.\n냉장에서 천천히 녹이고 센 불에 3분.\n\n10,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769188659",,
2026-09-28,18:00,instagram,carousel,suji-01.jpg;suji-02.jpg;suji-03.jpg,"불고기 시켜놓고 양념을 따로 사신 적 있으시죠.\n\n· 한우 1++ 스지불고기 300g\n· 언양식 양념 100g 동봉\n· 스지를 얇게 저며 쫄깃함이 같이 옵니다\n\n냉장에서 천천히 해동하고 센 불에 3분이면 완성입니다.\n\n10,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #한우 #스지불고기 #언양식불고기 #한우불고기 #밀키트 #집밥 #정육 #산지직송",,
2026-10-01,12:00,threads,carousel,jaban-01.jpg;jaban-02.jpg;jaban-03.jpg;jaban-04.jpg;jaban-05.jpg,"자반 사서 퍼석했던 적 있으면 여름 고등어였을 거다.\n\n겨울에 기름 오른 원물만 받아서 작업한다.\n여름 고등어는 아예 안 쓴다.\n\n10미, 손질하고 3.1kg 넘는다. 한 마리가 31cm대.\n고등어 98%에 천일염 2%. 그게 전부다.\n\n24,400원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13764539078",,
2026-10-01,18:00,instagram,carousel,jaban-01.jpg;jaban-02.jpg;jaban-03.jpg,"자반고등어 사서 살이 퍼석했던 적 있으시죠. 여름 고등어였을 가능성이 큽니다.\n\n· 겨울에 기름 오른 원물만 사용\n· 10미 · 손질 후 3.1~3.7kg · 1미 31~33cm\n· 고등어 98%, 천일염 2%. 그게 전부입니다\n\n해동 없이 껍질부터 구우시면 됩니다.\n\n24,400원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #자반고등어 #고등어 #국산고등어 #부산고등어 #생선구이 #집밥 #밑반찬 #산지직송",,
2026-10-05,12:00,threads,carousel,deungsim-01.jpg;deungsim-02.jpg;deungsim-03.jpg;deungsim-04.jpg;deungsim-05.jpg,"꽃등심은 등심 중에서도 가장 좋은 자리다.\n근육 안쪽까지 지방이 고루 퍼진 데.\n\n구이용으로 0.5~1cm에 맞춰 썰어서 온다.\n두꺼우면 겉만 익고 속이 안 따라온다.\n\n냉장 그대로 오니까 녹일 일도 없다.\n달군 팬에 한 면 1분 30초.\n\n24,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769186852",,
